ID;Language;Frage;Set;internal ID
61;de;Gib mir alle Apollo-14-Astronauten?;train;60
62;de;Liste alle Unternehmen auf, die mehr als 1 Million Angestellte haben.;train;61
63;de;In welchen Filmen unter der Regie von Garry Marshall hat Julia Roberts mitgespielt?;train;62
64;de;Welche Fußballvereine spielen in der Premier League?;train;63
65;de;Welches ist die höchste Ort im Ural?;train;64
66;de;Wer ist der Gouverneur von Wyoming?;train;65
67;de;Wo hat der Architekt des Eiffelturms studiert?;train;66
68;de;Welche Weltkulturerbestätten wurden in den vergangenen beiden Jahren ernannt?;train;67
69;de;Liste alle Schauspieler auf, die nach 1950 in Paris geboren wurden.;train;68
70;de;In welchen Filmen haben Liz Taylor und Richard Burton gemeinsam gespielt?;train;69
71;de;Liste alle australischen Non-Profit-Organisationen auf.;train;70
72;de;Welcher Papst folgte auf Johannes Paul II?;train;71
73;de;Liste alle ESA-Austronauten auf.;train;72
74;de;Wer war 1978 in Pakistan Präsident?;train;73
75;de;Wem gehört Rolls-Royce?;train;74
76;de;Wie viele Museen gibt es in Paris?;train;75
77;de;Wo wurde JFK ermordet?;train;76
78;de;Liste alle Bundeskanzler von Deutschland auf.;train;77
79;de;Liste alle, die an Halloween geboren wurden, auf.;train;78
80;de;Welche Biersorten haben ihren Ursprung in Irland?;train;79
81;de;Auf welche Länder erstreckt sich das Himalaya-Gebirge?;train;80
82;de;Welche Schauspieler wurden in Deutschland geboren?;train;81
83;de;Wie viele Kohlenhydrate hat Erdnussbutter?;train;82
84;de;Wer hat die meisten Filme produziert?;train;83
85;de;Wie viele Angestellte hat Google?;train;84
86;de;Liste alle Schauspieler auf, die in Berlin geboren wurden.;train;85
87;de;Wer hat Goofy erschaffen?;train;86
88;de;Auf welchen Musikalben befindet sich das Lied Last Christmas?;train;87
89;de;Wann wurde Alberta zu einer Provinz?;train;88
90;de;Wie viele Missionen hat das Soyuz-Programm?;train;89
91;de;In welchen Serien hat Neil Patrick Harris mitgespielt?;train;90
92;de;Wann wurden die Hells Angels gegründet?;train;91
93;de;Wie hoch ist das Nettoeinkommen von Apple?;train;92
94;de;Welche schwedischen Feiertage gibt es?;train;93
95;de;Wo wurde die frühere niederländische Königin Juliana begraben?;train;94
96;de;Für welche Musicals hat Leonard Bernstein die Musik geschrieben?;train;95
97;de;Liste alle Unternehmen auf, die in der Werbung tätig sind.;train;96
98;de;Welches ist das größte Ballungszentrum im Bundesstaat Washington?;train;97
99;de;Wer tötete John Lennon?;train;98
100;de;Welche Schriftsteller haben in Istanbul studiert?;train;99
101;de;Liste alle australischen Metalcore-Bands auf.;train;100
102;de;Welche Ländern haben den Euro eingeführt?;train;101
103;de;Liste alle Formen der Essstörung auf.;train;102
104;de;War Marc Chagall Jude?;train;103
105;de;Was war Brasiliens schlechteste Platzierung in der FIFA-Weltrangliste?;train;104
106;de;In wievielen Filmen hat Leonardo DiCaprio mitgespielt?;train;105
107;de;War Margaret Thatcher Chemikerin?;train;106
108;de;Welche US-Staaten liegen in der gleichen Zeitzone wie Utah?;train;107
109;de;Welche Bücher hat Danielle Steel geschrieben?;train;108
110;de;Welches Land hat die meisten offiziellen Sprachen?;train;109
111;de;Wie viele Menschen arbeiten beim FDNY?;train;110
112;de;Wer spielte Chewbacca?;train;111
113;de;Liste alle Bibliotheken auf, die vor 1400 gegründet wurden.;train;112
114;de;Welche Programmiersprachen wurden von Perl beeinflusst?;train;113
115;de;In welchem US-Bundesstaat liegt der Mount McKinley?;train;114
116;de;Welche Fluglinien gehören zur SkyTeam-Allianz?;train;115
117;de;Welche Schiffe wurden nach Benjamin Franklin benannt?;train;116
118;de;Welche Politiker sind Methodisten?;train;117
119;de;Welche Bücher hat der Schrifftsteller von Das Schicksal ist eine mieser Verräter noch geschrieben?;train;118
120;de;Welcher ist der höchste Berg?;train;119
121;de;Welcher Dichter hat die meisten Bücher geschrieben?;train;120
122;de;Welche Programmiersprachen haben Javascript beeinflusst?;train;121
123;de;Welcher Musiker hat die meisten Bücher geschrieben?;train;122
124;de;In welchen Filmen hat Clint Eastwood Regie geführt und mitgespielt?;train;123
125;de;Welche Software wurde von in Kalifornien gegründeten Organisationen entwickelt?;train;124
126;de;Welche Instrumente spielt Cat Stevens?;train;125
127;de;Wie viele Fluglinien gehören zur Star Alliance?;train;126
128;de;Liste alle Schauspieler mit dem Nachnamen Baldwin auf.;train;127
129;de;Wer hat die Tribute von Panem geschrieben?;train;128
130;de;Für welches Label hat Elvis sein erstes Album aufgenommen?;train;129
131;de;Spielt Christian Bale in Batman Begins mit?;train;130
132;de;Wo ist der Amtssitz von Spaniens Premierminister?;train;131
133;de;Welcher Schauspieler hat in den meisten Filmen mitgespielt?;train;132
134;de;Liste alle Länder auf, die mehr als zwei offizielle Landessprachen haben?;train;133
135;de;Liste alle Länder auf, in denen es mehr als zehn Höhlen gibt.;train;134
136;de;Welche Lieder hat Brucse Springsteen zwischen 1980 und 1990 veröffentlicht?;train;135
137;de;Welche Serien wurden von John Cleese erfunden?;train;136
138;de;Wann ist Lettland der EU beigetreten?;train;137
139;de;Welche Fußballspieler sind auf Malta geboren?;train;138
140;de;Wie viele Politiker haben an der Columbia University ihren Abschluss gemacht?;train;139
141;de;Wann wurden die Darsteller der Fernsehserie Charmed geboren?;train;140
142;de;Welche Telekommunikationsunternehmen stammen aus Belgien?;train;141
143;de;Liste alle Seen in Dänemark auf.;train;142
144;de;WIe viele Kinder hat Eddie Murphy?;train;143
145;de;Zeige alle gotischen Gebäude in Kent.;train;144
146;de;Wer ist der Manager von Real Madrid?;train;145
147;de;In welchen Ländern kannst man mit westafrikanischen CFA Franc bezahlen?;train;146
148;de;Welche Feiertage gibt es auf der Welt?;train;147
149;de;Wie heißt der längste Fluss?;train;148
150;de;Welche Organisationen wurden 1930 gegründet?;train;149
151;de;Wie ist der Geburtsname von Angela Merkel?;train;150
152;de;Mit wem war Tom Cruise verheiratet?;train;151
153;de;Welche Waffen hat Heckler & Koch entwickelt?;train;152
154;de;Welche ist die flächenmäßig kleinste Stadt in Deutschland?;train;153
155;de;Welche Partei regiert in Lissabon?;train;154
156;de;Welcher ist der leichteste Mond vom Jupiter?;train;155
157;de;Wie viele Angestellte hat IBM?;train;156
158;de;Liste alle Episoden der ersten Staffel der HBO-Fernsehserie The Sopranos auf.;train;157
159;de;Wofür steht ICRO?;train;158
160;de;Hat die Neuauflage von Battlestar Galactica mehr Episoden als die alte Serie?;train;159
161;de;Liste alle Filme, die Hal Roach produziert hat, auf.;train;160
162;de;Wer hat Agent Smith in Matrix gespielt?;train;161
163;de;Welche griechischen Parteien sind proeuropäisch eingestellt?;train;162
164;de;Liste alle Bandleader auf, die Trompete spielen.;train;163
165;de;Wie heißt der zweithöchste Berg der Welt?;train;164
166;de;Ist Ägyptens größte Stadt auch die Hauptstadt?;train;165
167;de;Welche Raketen sind von Baikonur aus gestartet?;train;166
168;de;Wie viele Programmiersprachen gibt es?;train;167
169;de;Welche Schachspieler sind am gleichen Ort gestorben, an dem sie geboren wurden?;train;168
170;de;Wem gehört Facebook?;train;169
171;de;In welchen Filmen hat Tom Cruise mitgespielt?;train;170
172;de;Zu welchem Bundesstaat gehört Fort Knox?;train;171
173;de;Liste alle Städte mit einer Einwohnerzahl größer als 100000 in New Jersey auf.;train;172
174;de;Liste alle Berge auf, die größer als der Nanga Parbat sind.;train;173
175;de;Liste alle B-Seiten der Ramones auf.;train;174
176;de;Welches sind die Fachgebiete des UNC Health Care?;train;175
177;de;Wann wurde Olof Palme erschossen?;train;176
178;de;Liste die sieben Könige Roms auf.;train;177
179;de;Liste alle Menschen auf, die in Wien geboren und in Berlin gestorben sind.;train;178
180;de;Ist Darth Vader der Vater von Luke?;train;179
181;de;Liste alle Brauereinen in Australien auf.;train;180
182;de;Liste alle von Steven Spielberg produzierten Filme mit einem Budget von mindestens 80 Millionen Dollar auf.;train;181
183;de;Liste alle Fußballvereine aus Spanien auf.;train;182
184;de;Wer hat die Filme, in denen Natalie Portman mitspielt, produziert?;train;183
185;de;Liste alle Züchtungen vom Deutschen Schäferhund auf.;train;184
186;de;Wer ist der schwerste Spieler der Chicago Bulls?;train;185
187;de;Welche Sprachen werden in Estland gesprochen?;train;186
188;de;Welches ist das größte Land der Welt?;train;187
189;de;Wie heißt die größte Stadt in Amerika?;train;188
190;de;Welcher Papst hat das Vatican Television erfunden?;train;189
191;de;Wer hat Ceres entdeckt?;train;190
192;de;Wie heißt der König der Niederlande?;train;191
193;de;Ist Cola ein Getränk?;train;192
194;de;An welcher Universität studierte die deutsche Kanzlerin Angela Merkel?;train;193
195;de;Wer schrieb die Säulen der Welt?;train;194
196;de;Welche Flughäfen fliegt Yeti Airlines an?;train;195
197;de;Wo wurde Goethe geboren?;train;196
198;de;War die Kubakrisa vor den Invasion der Schweinebucht?;train;197
199;de;Welche Zutaten braucht man für einen Karottenkuchen?;train;198
200;de;Wer hat Wikipedia entwickelt?;train;199
201;de;Wie heißt der höchste Berg in Sachsen?;train;200
202;de;Wer ist momentan Finanzminister in Deutschland?;train;201
203;de;Zu welchem Land gehört Mekka?;train;202
204;de;Wer hat Gus Fring in Breaking Bad gespielt?;train;203
205;de;In welchem Land entspringt der Nil?;train;204
206;de;Zu welchem Bundesstaat gehört die Penn State Universität?;train;205
207;de;Welches ist das größte Stadion in Spanien?;train;206
208;de;Wie heißt der Trainer von Ankaras Eishockeyteam?;train;207
209;de;Wie groß ist die Fläche des Vereinigten Königsreichs?;train;208
210;de;Wer hat Batmann erfunden?;train;209
211;de;War Sigmund Freud verheiratet?;train;210
212;de;Wie heißen die Entwickler von DBpedia?;train;211
213;de;In welchen Filmen hat Francis Ford Coppola Regie geführt?;train;212
214;de;Gehören Baumsteiger zu den Amphibien?;train;213
215;de;Wo hat das britische Parlament seinen Sitz?;train;214
216;de;Wie hoch liegt der Düsseldorfer Flughafen?;train;215
217;de;Wie viele Einwohner hat Mexiko City?;train;216
218;de;Wann wurde die 5. Rebublik in Frankreich gegründet?;train;217
219;de;Wer war der erste König von Engeland?;train;218
220;de;Wer ist der Herausgeber von Forbes?;train;219
221;de;Welchen Preis gewann Douglas Hofstadter?;train;220
222;de;Wer ist der jüngste Darts-Spieler?;train;221
223;de;Ist Pferderennen einen Sport?;train;222
224;de;Über welchen Fluss führt die Brooklyn Bridge?;train;223
225;de;Wie viele Menschen leben in Polen?;train;224
226;de;Wann wurde die letzte Folge von Friends ausgestrahlt?;train;225
227;de;Heißt die Ehefrau von Präsident Obama Michelle?;train;226
229;de;Wer war der 8. Präsident der Vereinigten Staaten?;train;227
230;de;Wie viele Einwohner hat die Europäische Union?;train;228
231;de;Liste alle Startrampen der NASA auf.;train;229
232;de;Wer hat World of Warcraft entwickelt?;train;230
233;de;Wie ist der Geburtsname von Adele?;train;231
234;de;Wie viele Einwohner hat Kairo?;train;232
235;de;Lebt Frank Herbert noch?;train;233
236;de;Was ist das letzte Werk von Dan Brown?;train;234
237;de;Wo liegt die Sungkyunkwan Universität?;train;235
238;de;Wer ist der Autor des Buches Traumdeutung?;train;236
239;de;Wann ist Shakespeare gestorben?;train;237
241;de;Wer hat Slack entwickelt?;train;238
242;de;Woher kommt der Carolina Reaper?;train;239
243;de;In welchem Jahr wurde Rachel Stevens geboren?;train;240
244;de;Wie oft war Jane Fonda verheiratet?;train;241
245;de;Hieß die Ehefrau von Präsident Lincoln Mary?;train;242
246;de;Durch welche Städte fließt die Weser?;train;243
247;de;In welcher Programmiersprache ist GIMP geschrieben?;train;244
248;de;An welcher Universität hat Angela Merkel studiert?;train;245
249;de;Für welche Musicals hat Elton John die Musik geschrieben?;train;246
250;de;Wie viele Aldi-Filialen gibt es?;train;247
251;de;Wie heißt der längste Fluss der Welt?;train;248
252;de;Wann wurde John Adams geboren?;train;249
253;de;Welche Firmen produzieren Luftkissenfahrzeuge?;train;250
254;de;Wie hieß der Frau von US-Präsident Lincoln?;train;251
255;de;Zu welcher Spezies gehören Elefanten?;train;252
256;de;Wie viele Menschen leben in der Hauptstadt von Australien?;train;253
257;de;In welchem alten Reich waren Kakaobohnen Zahlungsmittel?;train;254
258;de;Wie viele Theorien hatte Albert Einstein?;train;255
259;de;Wer hat den Soundtrack zu Camerons Film Titanic geschrieben?;train;256
260;de;Wie lang geht der Film Toy Story?;train;257
262;de;An welche Länder grenzt der Iran?;train;258
263;de;Welche Elektronikunternehmen wurden in Beijing gegründet?;train;259
264;de;Wer war der Nachfolger von John F. Kennedy?;train;260
265;de;Wer ist der Bürgermeister von Paris?;train;261
266;de;War Arnold Schwarzenegger an einer Universität eingeschrieben?;train;262
267;de;Ist James Bond verheiratet?;train;263
268;de;Fließt die Isar in einen See?;train;264
269;de;Welches indische Unternehmen hat die meisten Mitarbeiter?;train;265
270;de;Wer war Vizepräsident unter John F. Kennedy?;train;266
271;de;Aus welchem Land kommt der Erfinder von Miffy?;train;267
273;de;Wo hat die Heineken Brauerei ihren Sitz?;train;268
274;de;Ist Barack Obama Demokrat?;train;269
275;de;Wie heißen die Kinder von Margaret Thatcher?;train;270
276;de;Aus welcher Region stammt die Melon de Bourgogne?;train;271
278;de;Wie groß ist die Fläche von Nordrhein Westpfalen?;train;272
279;de;Welche Stadt hat die meisten Einwohner?;train;273
280;de;Was ist Donald Trumps Hauptgeschäftsfeld?;train;274
281;de;Wann ist das Finale der Fußballweltmeisterschaft 2018?;train;275
282;de;Bei welchen Filmen hat Stanley Kubrick Regie geführt?;train;276
283;de;Wie viele Einwohner hat der Irak?;train;277
284;de;Wie viele Einwohner hat die größte Stadt Kanadas?;train;278
285;de;Wer ist der Bürgermeister der größten Stadt in Französich-Polynesien?;train;279
286;de;Liste alle Schauspieler auf, die in Filmen mitgespielt haben, für die William Shatner Regie geführt hat.;train;280
287;de;Wie groß ist Claudia Schiffer?;train;281
288;de;Auf welchem Platz steht Deutschland messen an der Bevölkerungsdichte?;train;282
289;de;Wie heißt der höchste Berg Italiens?;train;283
290;de;Liste alle Spiele von GMT auf.;train;284
291;de;Welches ist die offizielle Sprache in Surinami?;train;285
292;de;In welcher Stadt ist Nikos Kazantzakis gestorben?;train;286
293;de;Welche Zutaten gehören in einen Schokoladenkeks?;train;287
294;de;In welchem Land liegt der Limerick Lake?;train;288
295;de;Liste alle Spiele auf, die von Mean Hamster Software veröffentlicht wurden.;train;289
296;de;Wie heißen die Bandmitglieder von Prodigy?;train;290
297;de;In welcher Zeitzone liegt Rom?;train;291
298;de;Wie hoch ist der Leuchtturm in Colombo?;train;292
299;de;Wer hat an The Wall von Pink Floyd mitgeschrieben?;train;293
300;de;Wer ist der Bürgermeister von Rotterdam?;train;294
301;de;Welche ist die größte Stadt in Australien?;train;295
302;de;Wer war mit Präsident Chirac verheiratet?;train;296
303;de;Welche Regierungsform wurde in Südafrika gegründet?;train;297
304;de;Wie hoch ist der Yokohoma Marine Tower?;train;298
305;de;Welche Feiertage werden auf der Welt gefeiert?;train;299
306;de;Wer ist der größte Basketballspieler?;train;300
307;de;Wie viele Sprachen werden in Turkmenistan gesprochen?;train;301
308;de;Hatte Che Guevara Kinder?;train;302
309;de;Hat Kausrismäki jemals den Gand Prix von Cannes gewonnen?;train;303
310;de;Welcher Partei gehört der Bürgermeister von Paris an?;train;304
311;de;Wer hat in der Formel 1 die meisten Rennen gefahren?;train;305
312;de;Aus welchem Land stammt Sitecore?;train;306
313;de;Welches ist der Geburtsort von Frank Sinatra?;train;307
314;de;Spielt Christian Bale in Velvet Goldmine mit?;train;308
315;de;Wer ist der Sohn von Sonny und Cher?;train;309
316;de;Wie viele ethnische Gruppen leben in Slowenien?;train;310
317;de;Wie heißt die Hauptstadt von Kamerun?;train;311
318;de;Wurde Natalie Portman in den USA geboren?;train;312
319;de;Wie viele Seiten hat Krieg und Frieden?;train;313
320;de;Wie heißt das älteste Kind von Meryl Streep?;train;314
321;de;Welche TV-Serien wurden von Walt Disney entwickelt?;train;315
322;de;Wofür steht IYCM?;train;316
323;de;Welche Traubensorten wachsen in Oregon?;train;317
324;de;War US-Präsident Jackson in einen Krieg verwickelt?;train;318
325;de;Wann wurde die Titanic fertiggestellt?;train;319
326;de;Hat Tesla den Nobelpreis in Physik gewonnen?;train;320
327;de;Wieviele Staaten at Mexiko?;train;321
328;de;Welcher Wissenschaftler ist bekannt für das Manhattan Projekt und den Nobelpreis?;train;322
329;de;Wie viel hat der Lego-Movie gekostet?;train;323
330;de;Wer hat die Musik für Harold und Maude geschrieben?;train;324
331;de;Liste alle Episoden der ersten Staffel der HBO-Fernsehserie The Sopranos auf.;train;325
332;de;Welche Stadt hat die wenigsten Einwohner?;train;326
333;de;Wo ist Syngman Rhee bestattet?;train;327
334;de;Spielt Neymar für Real Madrid?;train;328
335;de;Wer hat das Buch Die Säulen der Welt geschrieben?;train;329
336;de;Haben Prinz Harry und Prinz William die gleichen Eltern?;train;330
337;de;Wer war der Doktorvater von Albert Einstein?;train;331
338;de;Hat Breaking Bad mehr Episoden als Game of Thrones?;train;332
339;de;Von wem wurde Vincent van Gogh inspiriert?;train;333
340;de;Welches Gebäude hat nach dem Burj Khalifa die meisten Stockwerke?;train;334
341;de;Wie ging der Rosenkrieg aus?;train;335
342;de;Wie viel hat Pulp Fiction gekostet?;train;336
343;de;Ist Proinsulin eine Protein?;train;337
344;de;Haben Urdu und Persisch gemeinsame Wurzeln?;train;338
345;de;Wer spielt in spanischen Filmen, die von Benicio del Toro produziert wurden, mit?;train;339
346;de;Ist der Baikalsee größer als der Große Bärensee?;train;340
347;de;Liste alle Bücher aus Asimovs Foundation-Serie auf.;train;341
348;de;Wo ist Bach geboren?;train;342
349;de;Welche Stadt hat die älteste noch fahrende U-Bahn?;train;343
350;de;Wer hat die Brookly Brücke entworfen?;train;344
351;de;Wie viele Menschen leben in Eurasien?;train;345
352;de;Wer präsentiert die BBC Wildlife Specials?;train;346
353;de;Wie viele Einwohner hat Melbourne in Florida?;train;347
354;de;In welchem Land liegt der Mount Everest?;train;348
355;de;Zu welcher Künstlerbewegung gehört der Maler von den drei Tänzerinnen?;train;349
356;de;Wann startete die Operation Overlord?;train;350
357;de;Wie heißt die längste Brücke?;train;351
358;de;Gibt es eine Videospiel, das Ballte Chess heißt?;train;352
359;de;Wer wurde in der Großen Pyramide von Gizeh bestattet?;train;353
360;de;Hat Ford eine Fabrik ind Malaysia geplant?;train;354
361;de;Hat Socrates Aristoteles beeinflusst?;train;355
362;de;Wie viele Kinder hatte Benjamin Franklin?;train;356
363;de;Wie groß ist Michael Jordan?;train;357
364;de;In welcher britischen Stadt hat das MI6 sein Hauptquartier?;train;358
365;de;Wer hat Family Guy erfunden?;train;359
366;de;In welcher Stadt endet die Route 66?;train;360
367;de;Wie heißen die Enkelkinder von Elvis Presley?;train;361
368;de;Wann hat sich die Ming Dynastie aufgelöst?;train;362
369;de;An welchen militärischen Konflikten hat Lawrence von Arabien teilgenommen?;train;363
370;de;In welcher Zeitzone liegt San Pedro de Atacama?;train;364
371;de;Liste alle Bücher mit mehr als 300 Seiten von William Goldman auf.;train;365
372;de;Woran ist Bruce Carver gestorben?;train;366
373;de;Welche Tochtergesellschaft von Lufthansa fliegt Dortmund und Berlin Tegel an?;train;367
374;de;Hat der Sterbeort von Abraham Lincoln eine Internetseite?;train;368
375;de;Hatte Elvis Presley Kinder?;train;369
376;de;Ist Michelle Obama die Ehefrau von Barack Obama?;train;370
377;de;In welcher Stadt lebt Sylvester Stallone?;train;371
378;de;Welche Bücher von Kerouac wurden von Viking Press veröffentlicht?;train;372
379;de;Wer hat das Lied Hotel California geschrieben?;train;373
380;de;Wie heißt die Hauptstadt von Kanada?;train;374
381;de;Wer ist der Bürgermeister von Tel Aviv?;train;375
382;de;Welche Regierungsform hat Russland?;train;376
383;de;Zeige mir das Buch, das Mahammad Ali geschrieben hat.;train;377
384;de;Wer war der erste, der den Mount Everest bestiegen hat?;train;378
385;de;Wie viele Sprachen werden in Kolumbien gesprochen?;train;379
386;de;Wie heißt die Währung in Tschechien?;train;380
387;de;Wo in Frankreich wird Sekt hergestellt?;train;381
388;de;Wann hat Boris Becker seine aktive Karriere beendet?;train;382
389;de;In welchen Filmen mit Mickey Rourke hat Guy Ritchie Regie geführt?;train;383
390;de;In welchen Filmen haben Julia Roberts und Richard Gere gemeinsam mitgespielt?;train;384
391;de;Zeige mir die Autobiographie von Hemingway.;train;385
392;de;Wie groß ist Amazon Eve?;train;386
393;de;Wie heißen die fünf Bezirke von New York?;train;387
394;de;Liste alle kanadischen Grunge Plattenlabel auf.;train;388
395;de;In welchem Land entspringt der Ganges?;train;389
396;de;Wer ist der Gründer von Penguin Books?;train;390
397;de;Wer hat die Titelmelodie von Game of Thrones geschrieben?;train;391
398;de;Wie heißt der Präsident von Eritrea?;train;392
399;de;In welcher Stadt ist John F. Kennedy gestorben?;train;393
400;de;Wie heißt der höchste Berg in Australien?;train;394
401;de;Wer schrieb den Almanach des alten Bauern?;train;395
402;de;Wie heißt die chinesische Währung?;train;396
403;de;Liste alle schwedischen Ozeanographen auf.;train;397
404;de;In welcher Stadt haben die Vereinten Nationen ihren Sitz?;train;398
405;de;Ist Rita Wilson die Ehefrau von Tom Hanks?;train;399
406;de;In welchen Ländern sprechen die Menschen Japanisch?;train;400
407;de;Welcher Film von Tim Burton hatte das größte Budget?;train;401
408;de;Welches Museum in New York hat die meisten Besucher?;train;402
409;de;Wie hieß das erste Album von Queen?;train;403
410;de;Wie war der erste Name der Band Queens of the Stone Age?;train;404
411;de;Wie hieß der letzte Film mit Alec Guiness?;train;405
412;de;Liste alle Schauspieler auf, die in Last Action Hero mitgespielt haben.;train;406
413;de;Wer hat den Pluto entdeckt?;train;407
99;de;In welcher Zeitzone liegt Salt Lake City?;test;408
98;de;Wer hat Caesar ermordet?;test;409
86;de;Wie heißt der höchste Berg in Deutschland?;test;410
84;de;Welche amerikanischen Präsidenten waren während des Vietnamkrieges im Amt?;test;411
81;de;Butch Otter ist der Gouverneur welches US-Staates?;test;412
73;de;Wie viele Goldmedaillen hat Michael Phelps bei den Olympischen Spielen 2008 gewonnen?;test;413
66;de;Welche Künstler sind am gleichen Tag wie Rachel Stevens geboren?;test;414
64;de;Welchen Beruf hat Frank Herbert?;test;415
6;de;Sind Taiko eine Art von japanischen Musikinstrument?;test;416
56;de;Wie viele Sitzplätze hat das Heimstadion vom FC Porto?;test;417
49;de;Welches Vielfliegerprogramm hat die meisten Fluglinien?;test;418
44;de;Welche europäischen Länder haben eine parlamentarische Monarchie?;test;419
42;de;Welche Länder haben Orte mit mehr als zwei Höhlen?;test;420
4;de;Welche Flughäfen gibt es in Kalifornien, USA?;test;421
37;de;Was sind die Spitznamen von San Francisco?;test;422
32;de;Wie ist Angela Merkels Geburtsname?;test;423
31;de;Wer ist Bürgermeister von Berlin?;test;424
29;de;Welche Länder der Europäischen Union haben den Euro?;test;425
23;de;Welche Software wurde durch Mean Hamster Software veröffentlicht?;test;426
68;de;In welchen Land wurde Bill Gates geboren?;test;427
22;de;Wie viele Enkelkinder hatte Jacques Cousteau?;test;428
214;de;Liste alle professionellen Skater aus Schweden auf.;test;429
210;de;Welche Monarchen aus dem Vereinigten Königreich waren mit einem Deutschen verheiratet?;test;430
199;de;Liste alle argentinischen Filme auf.;test;431
203;de;Wie ist Michael Jackson gestorben?;test;432
197;de;Welcher US-Bundesstaat wurde als letzter anerkannt?;test;433
196;de;Zu welcher Klasse gehört der Tausendfüßler?;test;434
188;de;Gib mir die Internetpräsenz von Forbes?;test;435
187;de;Wie heißt der Ehemann von Amanda Palmer?;test;436
176;de;Wer hat den Sturm im Meer von Galiläa gemalt?;test;437
62;de;Wie heißt der höchste Ort von Karakoram?;test;438
173;de;Wann ist Finnland der EU beigetreten?;test;439
168;de;Welche Schauspieler spielen in Big Bang Theory mit?;test;440
166;de;Welcher Informatiker hat den Oscar gewonnen?;test;441
160;de;Wer hat Harry Potter geschrieben?;test;442
158;de;Liste alle Schriftsteller auf, die den Nobelpreis gewonnen haben.;test;443
