ID,Language,Question,Translation
185,de,Liste alle Züchtungen vom Deutschen Schäferhund auf.,
186,de,Wer ist der schwerste Spieler der Chicago Bulls?,
187,de,Welche Sprachen werden in Estland gesprochen?,
188,de,Welches ist das größte Land der Welt?,
189,de,Wie heißt die größte Stadt in Amerika?,
190,de,Welcher Papst hat das Vatican Television erfunden?,
191,de,Wer hat Ceres entdeckt?,
192,de,Wie heißt der König der Niederlande?,
193,de,Ist Cola ein Getränk?,
194,de,An welcher Universität studierte die deutsche Kanzlerin Angela Merkel?,
195,de,Wer schrieb die Säulen der Welt?,
196,de,Welche Flughäfen fliegt Yeti Airlines an?,
197,de,Wo wurde Goethe geboren?,
198,de,War die Kubakrisa vor den Invasion der Schweinebucht?,
199,de,Welche Zutaten braucht man für einen Karottenkuchen?,
200,de,Wer hat Wikipedia entwickelt?,
201,de,Wie heißt der höchste Berg in Sachsen?,
202,de,Wer ist momentan Finanzminister in Deutschland?,
203,de,Zu welchem Land gehört Mekka?,
204,de,Wer hat Gus Fring in Breaking Bad gespielt?,
205,de,In welchem Land entspringt der Nil?,
206,de,Zu welchem Bundesstaat gehört die Penn State Universität?,
207,de,Welches ist das größte Stadion in Spanien?,
208,de,Wie heißt der Trainer von Ankaras Eishockeyteam?,
209,de,Wie groß ist die Fläche des Vereinigten Königsreichs?,
210,de,Wer hat Batmann erfunden?,
211,de,War Sigmund Freud verheiratet?,
212,de,Wie heißen die Entwickler von DBpedia?,
213,de,In welchen Filmen hat Francis Ford Coppola Regie geführt?,
214,de,Gehören Baumsteiger zu den Amphibien?,
215,de,Wo hat das britische Parlament seinen Sitz?,
216,de,Wie hoch liegt der Düsseldorfer Flughafen?,
217,de,Wie viele Einwohner hat Mexiko City?,
218,de,Wann wurde die 5. Rebublik in Frankreich gegründet?,
219,de,Wer war der erste König von Engeland?,
220,de,Wer ist der Herausgeber von Forbes?,
221,de,Welchen Preis gewann Douglas Hofstadter?,
222,de,Wer ist der jüngste Darts-Spieler?,
223,de,Ist Pferderennen einen Sport?,
224,de,Über welchen Fluss führt die Brooklyn Bridge?,
225,de,Wie viele Menschen leben in Polen?,
226,de,Wann wurde die letzte Folge von Friends ausgestrahlt?,
227,de,Heißt die Ehefrau von Präsident Obama Michelle?,
229,de,Wer war der 8. Präsident der Vereinigten Staaten?,
230,de,Wie viele Einwohner hat die Europäische Union?,
231,de,Liste alle Startrampen der NASA auf.,
232,de,Wer hat World of Warcraft entwickelt?,
233,de,Wie ist der Geburtsname von Adele?,
234,de,Wie viele Einwohner hat Kairo?,
235,de,Lebt Frank Herbert noch?,
236,de,Was ist das letzte Werk von Dan Brown?,
237,de,Wo liegt die Sungkyunkwan Universität?,
238,de,Wer ist der Autor des Buches Traumdeutung?,
239,de,Wann ist Shakespeare gestorben?,
241,de,Wer hat Slack entwickelt?,
242,de,Woher kommt der Carolina Reaper?,
243,de,In welchem Jahr wurde Rachel Stevens geboren?,
244,de,Wie oft war Jane Fonda verheiratet?,
245,de,Hieß die Ehefrau von Präsident Lincoln Mary?,
246,de,Durch welche Städte fließt die Weser?,
247,de,In welcher Programmiersprache ist GIMP geschrieben?,
248,de,An welcher Universität hat Angela Merkel studiert?,
249,de,Für welche Musicals hat Elton John die Musik geschrieben?,
250,de,Wie viele Aldi-Filialen gibt es?,
251,de,Wie heißt der längste Fluss der Welt?,
252,de,Wann wurde John Adams geboren?,
253,de,Welche Firmen produzieren Luftkissenfahrzeuge?,
254,de,Wie hieß der Frau von US-Präsident Lincoln?,
255,de,Zu welcher Spezies gehören Elefanten?,
256,de,Wie viele Menschen leben in der Hauptstadt von Australien?,
257,de,In welchem alten Reich waren Kakaobohnen Zahlungsmittel?,
258,de,Wie viele Theorien hatte Albert Einstein?,
259,de,Wer hat den Soundtrack zu Camerons Film Titanic geschrieben?,
260,de,Wie lang geht der Film Toy Story?,
262,de,An welche Länder grenzt der Iran?,
263,de,Welche Elektronikunternehmen wurden in Beijing gegründet?,
264,de,Wer war der Nachfolger von John F. Kennedy?,
265,de,Wer ist der Bürgermeister von Paris?,
266,de,War Arnold Schwarzenegger an einer Universität eingeschrieben?,
267,de,Ist James Bond verheiratet?,
268,de,Fließt die Isar in einen See?,
269,de,Welches indische Unternehmen hat die meisten Mitarbeiter?,
270,de,Wer war Vizepräsident unter John F. Kennedy?,
271,de,Aus welchem Land kommt der Erfinder von Miffy?,
273,de,Wo hat die Heineken Brauerei ihren Sitz?,
274,de,Ist Barack Obama Demokrat?,
275,de,Wie heißen die Kinder von Margaret Thatcher?,
276,de,Aus welcher Region stammt die Melon de Bourgogne?,
278,de,Wie groß ist die Fläche von Nordrhein Westpfalen?,
279,de,Welche Stadt hat die meisten Einwohner?,
280,de,Was ist Donald Trumps Hauptgeschäftsfeld?,
281,de,Wann ist das Finale der Fußballweltmeisterschaft 2018?,
282,de,Bei welchen Filmen hat Stanley Kubrick Regie geführt?,
283,de,Wie viele Einwohner hat der Irak?,
284,de,Wie viele Einwohner hat die größte Stadt Kanadas?,
285,de,Wer ist der Bürgermeister der größten Stadt in Französich-Polynesien?,
286,de,"Liste alle Schauspieler auf, die in Filmen mitgespielt haben, für die William Shatner Regie geführt hat.",
287,de,Wie groß ist Claudia Schiffer?,
288,de,Auf welchem Platz steht Deutschland messen an der Bevölkerungsdichte?,
289,de,Wie heißt der höchste Berg Italiens?,
290,de,Liste alle Spiele von GMT auf.,
291,de,Welches ist die offizielle Sprache in Surinami?,
292,de,In welcher Stadt ist Nikos Kazantzakis gestorben?,
293,de,Welche Zutaten gehören in einen Schokoladenkeks?,
294,de,In welchem Land liegt der Limerick Lake?,
295,de,"Liste alle Spiele auf, die von Mean Hamster Software veröffentlicht wurden.",
296,de,Wie heißen die Bandmitglieder von Prodigy?,
297,de,In welcher Zeitzone liegt Rom?,
298,de,Wie hoch ist der Leuchtturm in Colombo?,
299,de,Wer hat an The Wall von Pink Floyd mitgeschrieben?,
300,de,Wer ist der Bürgermeister von Rotterdam?,
301,de,Welche ist die größte Stadt in Australien?,
302,de,Wer war mit Präsident Chirac verheiratet?,
303,de,Welche Regierungsform wurde in Südafrika gegründet?,
304,de,Wie hoch ist der Yokohoma Marine Tower?,
305,de,Welche Feiertage werden auf der Welt gefeiert?,
306,de,Wer ist der größte Basketballspieler?,
307,de,Wie viele Sprachen werden in Turkmenistan gesprochen?,
308,de,Hatte Che Guevara Kinder?,
309,de,Hat Kausrismäki jemals den Gand Prix von Cannes gewonnen?,
310,de,Welcher Partei gehört der Bürgermeister von Paris an?,
311,de,Wer hat in der Formel 1 die meisten Rennen gefahren?,
312,de,Aus welchem Land stammt Sitecore?,
313,de,Welches ist der Geburtsort von Frank Sinatra?,
314,de,Spielt Christian Bale in Velvet Goldmine mit?,
315,de,Wer ist der Sohn von Sonny und Cher?,
316,de,Wie viele ethnische Gruppen leben in Slowenien?,
317,de,Wie heißt die Hauptstadt von Kamerun?,
318,de,Wurde Natalie Portman in den USA geboren?,
319,de,Wie viele Seiten hat Krieg und Frieden?,
320,de,Wie heißt das älteste Kind von Meryl Streep?,
321,de,Welche TV-Serien wurden von Walt Disney entwickelt?,
322,de,Wofür steht IYCM?,
323,de,Welche Traubensorten wachsen in Oregon?,
324,de,War US-Präsident Jackson in einen Krieg verwickelt?,
325,de,Wann wurde die Titanic fertiggestellt?,
326,de,Hat Tesla den Nobelpreis in Physik gewonnen?,
327,de,Wieviele Staaten at Mexiko?,
328,de,Welcher Wissenschaftler ist bekannt für das Manhattan Projekt und den Nobelpreis?,
329,de,Wie viel hat der Lego-Movie gekostet?,
330,de,Wer hat die Musik für Harold und Maude geschrieben?,
331,de,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie The Sopranos auf.,
332,de,Welche Stadt hat die wenigsten Einwohner?,
333,de,Wo ist Syngman Rhee bestattet?,
334,de,Spielt Neymar für Real Madrid?,
335,de,Wer hat das Buch Die Säulen der Welt geschrieben?,
336,de,Haben Prinz Harry und Prinz William die gleichen Eltern?,
337,de,Wer war der Doktorvater von Albert Einstein?,
338,de,Hat Breaking Bad mehr Episoden als Game of Thrones?,
339,de,Von wem wurde Vincent van Gogh inspiriert?,
340,de,Welches Gebäude hat nach dem Burj Khalifa die meisten Stockwerke?,
341,de,Wie ging der Rosenkrieg aus?,
342,de,Wie viel hat Pulp Fiction gekostet?,
343,de,Ist Proinsulin eine Protein?,
344,de,Haben Urdu und Persisch gemeinsame Wurzeln?,
345,de,"Wer spielt in spanischen Filmen, die von Benicio del Toro produziert wurden, mit?",
346,de,Ist der Baikalsee größer als der Große Bärensee?,
347,de,Liste alle Bücher aus Asimovs Foundation-Serie auf.,
348,de,Wo ist Bach geboren?,
349,de,Welche Stadt hat die älteste noch fahrende U-Bahn?,
350,de,Wer hat die Brookly Brücke entworfen?,
351,de,Wie viele Menschen leben in Eurasien?,
352,de,Wer präsentiert die BBC Wildlife Specials?,
353,de,Wie viele Einwohner hat Melbourne in Florida?,
354,de,In welchem Land liegt der Mount Everest?,
355,de,Zu welcher Künstlerbewegung gehört der Maler von den drei Tänzerinnen?,
356,de,Wann startete die Operation Overlord?,
357,de,Wie heißt die längste Brücke?,
358,de,"Gibt es eine Videospiel, das Ballte Chess heißt?",
359,de,Wer wurde in der Großen Pyramide von Gizeh bestattet?,
360,de,Hat Ford eine Fabrik ind Malaysia geplant?,
361,de,Hat Socrates Aristoteles beeinflusst?,
362,de,Wie viele Kinder hatte Benjamin Franklin?,
363,de,Wie groß ist Michael Jordan?,
364,de,In welcher britischen Stadt hat das MI6 sein Hauptquartier?,
365,de,Wer hat Family Guy erfunden?,
366,de,In welcher Stadt endet die Route 66?,
367,de,Wie heißen die Enkelkinder von Elvis Presley?,
368,de,Wann hat sich die Ming Dynastie aufgelöst?,
369,de,An welchen militärischen Konflikten hat Lawrence von Arabien teilgenommen?,
370,de,In welcher Zeitzone liegt San Pedro de Atacama?,
371,de,Liste alle Bücher mit mehr als 300 Seiten von William Goldman auf.,
372,de,Woran ist Bruce Carver gestorben?,
373,de,Welche Tochtergesellschaft von Lufthansa fliegt Dortmund und Berlin Tegel an?,
374,de,Hat der Sterbeort von Abraham Lincoln eine Internetseite?,
375,de,Hatte Elvis Presley Kinder?,
376,de,Ist Michelle Obama die Ehefrau von Barack Obama?,
377,de,In welcher Stadt lebt Sylvester Stallone?,
378,de,Welche Bücher von Kerouac wurden von Viking Press veröffentlicht?,
379,de,Wer hat das Lied Hotel California geschrieben?,
380,de,Wie heißt die Hauptstadt von Kanada?,
381,de,Wer ist der Bürgermeister von Tel Aviv?,
382,de,Welche Regierungsform hat Russland?,
383,de,"Zeige mir das Buch, das Mahammad Ali geschrieben hat.",
384,de,"Wer war der erste, der den Mount Everest bestiegen hat?",
385,de,Wie viele Sprachen werden in Kolumbien gesprochen?,
386,de,Wie heißt die Währung in Tschechien?,
387,de,Wo in Frankreich wird Sekt hergestellt?,
388,de,Wann hat Boris Becker seine aktive Karriere beendet?,
389,de,In welchen Filmen mit Mickey Rourke hat Guy Ritchie Regie geführt?,
390,de,In welchen Filmen haben Julia Roberts und Richard Gere gemeinsam mitgespielt?,
391,de,Zeige mir die Autobiographie von Hemingway.,
392,de,Wie groß ist Amazon Eve?,
393,de,Wie heißen die fünf Bezirke von New York?,
394,de,Liste alle kanadischen Grunge Plattenlabel auf.,
395,de,In welchem Land entspringt der Ganges?,
396,de,Wer ist der Gründer von Penguin Books?,
397,de,Wer hat die Titelmelodie von Game of Thrones geschrieben?,
398,de,Wie heißt der Präsident von Eritrea?,
399,de,In welcher Stadt ist John F. Kennedy gestorben?,
400,de,Wie heißt der höchste Berg in Australien?,
401,de,Wer schrieb den Almanach des alten Bauern?,
402,de,Wie heißt die chinesische Währung?,
403,de,Liste alle schwedischen Ozeanographen auf.,
404,de,In welcher Stadt haben die Vereinten Nationen ihren Sitz?,
405,de,Ist Rita Wilson die Ehefrau von Tom Hanks?,
406,de,In welchen Ländern sprechen die Menschen Japanisch?,
407,de,Welcher Film von Tim Burton hatte das größte Budget?,
408,de,Welches Museum in New York hat die meisten Besucher?,
409,de,Wie hieß das erste Album von Queen?,
410,de,Wie war der erste Name der Band Queens of the Stone Age?,
411,de,Wie hieß der letzte Film mit Alec Guiness?,
412,de,"Liste alle Schauspieler auf, die in Last Action Hero mitgespielt haben.",
413,de,Wer hat den Pluto entdeckt?,
